,year,degree_type,all:total,all:women,all:men,compsci:total,compsci:women,compsci:men,compsci_percent:total,compsci_percent:women,compsci_percent:men
0,1966,bachelors,524008,222971,301037,89,13,76,0.02,0.01,0.03
1,1966,doctorate,17949,2086,15863,0,0,0,0.0,0.0,0.0
2,1966,masters,140772,47588,93184,238,17,221,0.17,0.04,0.24
3,1967,bachelors,562369,238133,324236,222,24,198,0.04,0.01,0.06
4,1967,doctorate,20403,2442,17961,0,0,0,0.0,0.0,0.0
5,1967,masters,157892,54713,103179,449,26,423,0.28,0.05,0.41
6,1968,bachelors,636863,277116,359747,459,55,404,0.07,0.02,0.11
7,1968,doctorate,22937,2932,20005,0,0,0,0.0,0.0,0.0
8,1968,masters,177150,63401,113749,548,30,518,0.31,0.05,0.46
9,1969,bachelors,734003,321138,412865,933,121,812,0.13,0.04,0.2
10,1969,doctorate,25743,3388,22355,0,0,0,0.0,0.0,0.0
11,1969,masters,194414,72533,121881,1012,73,939,0.52,0.1,0.77
12,1970,bachelors,798070,344465,453605,1544,199,1345,0.19,0.06,0.3
13,1970,doctorate,29498,3971,25527,0,0,0,0.0,0.0,0.0
14,1970,masters,209387,83241,126146,1459,135,1324,0.7,0.16,1.05
15,1971,bachelors,846110,367687,478423,2388,324,2064,0.28,0.09,0.43
16,1971,doctorate,31867,4596,27271,0,0,0,0.0,0.0,0.0
17,1971,masters,231486,92896,138590,1588,164,1424,0.69,0.18,1.03
18,1972,bachelors,894110,390479,503631,3402,461,2941,0.38,0.12,0.58
19,1972,doctorate,33041,5287,27754,0,0,0,0.0,0.0,0.0
20,1972,masters,252774,102689,150085,1977,225,1752,0.78,0.22,1.17
21,1973,bachelors,930272,408738,521534,4305,640,3665,0.46,0.16,0.7
22,1973,doctorate,33755,6085,27670,1,1,0,0.0,0.02,0.0
23,1973,masters,264525,109525,155000,2113,225,1888,0.8,0.21,1.22
24,1974,bachelors,954376,423469,530907,4757,780,3977,0.5,0.18,0.75
25,1974,doctorate,33047,6453,26594,0,0,0,0.0,0.0,0.0
26,1974,masters,278259,119915,158344,2276,293,1983,0.82,0.24,1.25
27,1975,bachelors,931663,423239,508424,5039,956,4083,0.54,0.23,0.8
28,1975,doctorate,32952,7201,25751,0,0,0,0.0,0.0,0.0
29,1975,masters,293651,131536,162115,2299,338,1961,0.78,0.26,1.21
30,1976,bachelors,934443,425894,508549,5664,1124,4540,0.61,0.26,0.89
31,1976,doctorate,32946,7684,25262,0,0,0,0.0,0.0,0.0
32,1976,masters,313001,145256,167745,2603,377,2226,0.83,0.26,1.33
33,1977,bachelors,928228,429107,499121,6426,1539,4887,0.69,0.36,0.98
34,1977,doctorate,31716,7858,23858,32,5,27,0.1,0.06,0.11
35,1977,masters,318241,150031,168210,2798,466,2332,0.88,0.31,1.39
36,1978,bachelors,930201,439135,491066,7224,1864,5360,0.78,0.42,1.09
37,1978,doctorate,30875,8322,22553,121,11,110,0.39,0.13,0.49
38,1978,masters,312816,151108,161708,3038,567,2471,0.97,0.38,1.53
39,1979,bachelors,931340,449946,481394,8769,2463,6306,0.94,0.55,1.31
40,1979,doctorate,31238,8937,22301,210,27,183,0.67,0.3,0.82
41,1979,masters,302075,148303,153772,3055,575,2480,1.01,0.39,1.61
42,1980,bachelors,940251,462501,477750,11213,3399,7814,1.19,0.73,1.64
43,1980,doctorate,31019,9407,21612,218,21,197,0.7,0.22,0.91
44,1980,masters,299095,147936,151159,3647,764,2883,1.22,0.52,1.91
45,1981,bachelors,946877,472541,474336,15233,4953,10280,1.61,1.05,2.17
46,1981,doctorate,31355,9892,21463,232,26,206,0.74,0.26,0.96
47,1981,masters,296798,149367,147431,4218,971,3247,1.42,0.65,2.2
48,1982,bachelors,964043,486500,477543,20431,7115,13316,2.12,1.46,2.79
49,1982,doctorate,31109,10093,21016,220,20,200,0.71,0.2,0.95
50,1982,masters,296580,150639,145941,4935,1310,3625,1.66,0.87,2.48
51,1983,bachelors,980679,497284,483395,24682,8992,15690,2.52,1.81,3.25
52,1983,doctorate,31280,10532,20748,286,36,250,0.91,0.34,1.2
53,1983,masters,290931,145817,145114,5321,1508,3813,1.83,1.03,2.63
54,1984,bachelors,986345,499595,486750,32435,12066,20369,3.29,2.42,4.18
55,1984,doctorate,31334,10698,20636,295,37,258,0.94,0.35,1.25
56,1984,masters,285462,141464,143998,6190,1811,4379,2.17,1.28,3.04
57,1985,bachelors,990877,504217,486660,39121,14431,24690,3.95,2.86,5.07
58,1985,doctorate,31295,10743,20552,310,33,277,0.99,0.31,1.35
59,1985,masters,287213,143497,143716,7101,2037,5064,2.47,1.42,3.52
60,1986,bachelors,1000204,510061,490143,42195,15126,27069,4.22,2.97,5.52
61,1986,doctorate,31897,11305,20592,399,48,351,1.25,0.42,1.7
62,1986,masters,289829,145897,143932,8070,2412,5658,2.78,1.65,3.93
63,1987,bachelors,1003532,518529,485003,39927,13889,26038,3.98,2.68,5.37
64,1987,doctorate,32365,11431,20934,450,65,385,1.39,0.57,1.84
65,1987,masters,290532,148877,141655,8481,2496,5985,2.92,1.68,4.23
66,1988,bachelors,1006033,524797,481236,34896,11353,23543,3.47,2.16,4.89
67,1988,doctorate,33496,11819,21677,515,56,459,1.54,0.47,2.12
68,1988,masters,300091,154688,145403,9166,2464,6702,3.05,1.59,4.61
69,1989,bachelors,1030171,542605,487566,30963,9545,21418,3.01,1.76,4.39
70,1989,doctorate,34324,12513,21811,613,108,505,1.79,0.86,2.32
71,1989,masters,311050,161651,149399,9399,2626,6773,3.02,1.62,4.53
72,1990,bachelors,1062151,566284,495867,27695,8374,19321,2.61,1.48,3.9
73,1990,doctorate,36065,13105,22960,705,110,595,1.95,0.84,2.59
74,1990,masters,324947,170922,154025,9643,2675,6968,2.97,1.57,4.52
75,1991,bachelors,1107997,599045,508952,25410,7514,17896,2.29,1.25,3.52
76,1991,doctorate,37394,13873,23521,800,117,679,2.14,0.84,2.89
77,1991,masters,338498,181603,156895,9324,2761,6563,2.75,1.52,4.18
78,1992,bachelors,1150072,624677,525395,24958,7210,17748,2.17,1.15,3.38
79,1992,doctorate,38671,14436,24235,869,120,747,2.25,0.83,3.08
80,1992,masters,354207,191908,162299,9655,2675,6980,2.73,1.39,4.3
81,1993,bachelors,1179278,641742,537536,24580,6951,17629,2.08,1.08,3.28
82,1993,doctorate,39508,15121,24387,880,138,737,2.23,0.91,3.02
83,1993,masters,370973,201220,169753,10349,2795,7554,2.79,1.39,4.45
84,1994,bachelors,1183141,646080,537061,24553,7020,17533,2.08,1.09,3.26
85,1994,doctorate,40885,15824,25061,903,137,762,2.21,0.87,3.04
86,1994,masters,389008,212246,176762,10546,2729,7817,2.71,1.29,4.42
87,1995,bachelors,1174436,643290,531146,24769,7063,17706,2.11,1.1,3.33
88,1995,doctorate,41578,16416,25162,997,186,808,2.4,1.13,3.21
89,1995,masters,399428,220230,179198,10563,2786,7777,2.64,1.27,4.34
90,1996,bachelors,1179815,651815,528000,24545,6772,17773,2.08,1.04,3.37
91,1996,doctorate,42250,16957,25293,920,139,775,2.18,0.82,3.06
92,1996,masters,408932,228572,180360,10613,2850,7763,2.6,1.25,4.3
93,1997,bachelors,1186589,661307,525282,25393,6903,18490,2.14,1.04,3.52
94,1997,doctorate,42187,17243,24944,909,150,743,2.15,0.87,2.98
