,year,degree_type,total,women,men
0,1966,bachelors,89,13,76
1,1966,doctorate,0,0,0
2,1966,masters,238,17,221
3,1967,bachelors,222,24,198
4,1967,doctorate,0,0,0
5,1967,masters,449,26,423
6,1968,bachelors,459,55,404
7,1968,doctorate,0,0,0
8,1968,masters,548,30,518
9,1969,bachelors,933,121,812
10,1969,doctorate,0,0,0
11,1969,masters,1012,73,939
12,1970,bachelors,1544,199,1345
13,1970,doctorate,0,0,0
14,1970,masters,1459,135,1324
15,1971,bachelors,2388,324,2064
16,1971,doctorate,0,0,0
17,1971,masters,1588,164,1424
18,1972,bachelors,3402,461,2941
19,1972,doctorate,0,0,0
20,1972,masters,1977,225,1752
21,1973,bachelors,4305,640,3665
22,1973,doctorate,1,1,0
23,1973,masters,2113,225,1888
24,1974,bachelors,4757,780,3977
25,1974,doctorate,0,0,0
26,1974,masters,2276,293,1983
27,1975,bachelors,5039,956,4083
28,1975,doctorate,0,0,0
29,1975,masters,2299,338,1961
30,1976,bachelors,5664,1124,4540
31,1976,doctorate,0,0,0
32,1976,masters,2603,377,2226
33,1977,bachelors,6426,1539,4887
34,1977,doctorate,32,5,27
35,1977,masters,2798,466,2332
36,1978,bachelors,7224,1864,5360
37,1978,doctorate,121,11,110
38,1978,masters,3038,567,2471
39,1979,bachelors,8769,2463,6306
40,1979,doctorate,210,27,183
41,1979,masters,3055,575,2480
42,1980,bachelors,11213,3399,7814
43,1980,doctorate,218,21,197
44,1980,masters,3647,764,2883
45,1981,bachelors,15233,4953,10280
46,1981,doctorate,232,26,206
47,1981,masters,4218,971,3247
48,1982,bachelors,20431,7115,13316
49,1982,doctorate,220,20,200
50,1982,masters,4935,1310,3625
51,1983,bachelors,24682,8992,15690
52,1983,doctorate,286,36,250
53,1983,masters,5321,1508,3813
54,1984,bachelors,32435,12066,20369
55,1984,doctorate,295,37,258
56,1984,masters,6190,1811,4379
57,1985,bachelors,39121,14431,24690
58,1985,doctorate,310,33,277
